Age,Preference
45,1
24,1
53,1
26,2
26,1
27,2
24,1
36,2
26,2
26,1
27,2
25,1
26,1
25,2
25,2
28,1
25,2
24,2
44,2
25,1
44,2
29,2
41,2
28,2
21,1
42,2
32,1
26,2
36,2
25,2
25,1
22,2
28,1
27,2
25,1
21,2
25,2
24,1
24,2
26,1
27,1
26,2
27,2
23,2
24,2
25,1
54,1
23,2
22,2
26,2
53,1
42,2
27,2
25,2
54,1
25,1
42,2
29,1
21,1
25,2
26,1
26,2
25,2
28,2
32,1
54,1
26,2
25,2
23,2
36,2
25,2
41,2
26,2
26,1
26,1
27,2
24,1
34,2
44,2
25,1
27,2
25,1
26,1
29,2
25,2
27,1
25,2
24,2
25,2
29,1
35,2
26,2
24,1
28,2
29,1
42,2
32,1
26,2
45,1
24,1
26,2
24,1
27,2
25,1
21,2
25,2
24,1
26,2
26,1
29,1
27,2
27,2
23,2
24,2
25,1
52,1
23,2
22,2
28,2
53,1
42,2
27,2
25,2
52,1
25,1
27,2
29,1
22,1
28,2
26,1
26,2
29,2
30,2
33,1
54,1
25,2
25,2
24,2
25,2
36,2
26,1
45,1
24,1
53,1
26,2
25,2
40,2
24,1
25,2
26,1
27,2
25,1
29,1
28,1
25,2
24,2
44,2
25,1
44,2
29,2
41,2
30,2
30,1
26,2
53,1
42,2
27,2
25,2
28,1
25,2
29,1
26,2
25,1
22,2
25,2
24,1
29,2
26,1
28,1
28,2
27,2
23,2
24,2
25,1
57,1
24,2
22,2
42,2
32,1
26,2
36,2
25,2
54,1
25,1
42,2
29,1
23,1
26,2
27,1
26,2
24,2
28,2
32,1
52,1
22,2
25,2
23,2
